"","number","player","yr","pos","ht","b_t","app","gs","era","ip","cg","h","r","er","bb","so","sho","bf","p_oab","x2b_a","x3b_a","bk","hr_a","wp","hb","ibb","inh_run","inh_run_score","sha","sfa","pitches","go","fo","w","l","sv","kl","pickoffs","AB","BAA","team_id","year","flyout_perc","groundout_perc","k_perc","bb_perc","obp","x1b_a","ops"
"110","25","Grady Vanidestine","Fr","P","-","R/R",10,0,6.48,8.1,0,5,6,6,7,11,0,37,29,2,0,0,1,2,1,0,0,0,0,0,123,6,7,0,0,1,4,0,29,0.172413793103448,597157,2025,0.538461538461538,0.461538461538462,0.297297297297297,0.189189189189189,0.351351351351351,2,0.696178937558248
"111","Succ-Opp against Leadoff Batter","Grady Vanidestine","Fr","P","-","R/R",0,0,0,2,0,0,0,0,2,2,0,8,6,0,0,0,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,1,0,6,0,597157,2025,0.5,0.5,0.25,0.25,0.25,0,0.25
"112","Hits-AB with runners ob","Grady Vanidestine","Fr","P","-","R/R",0,0,0,3.2,0,3,0,0,3,5,0,17,13,2,0,0,1,2,1,0,0,0,0,0,NA,1,4,0,0,0,1,0,13,0.230769230769231,597157,2025,0.8,0.2,0.294117647058824,0.176470588235294,0.411764705882353,0,1.02714932126697
"113","Hits-AB vs lhb","Grady Vanidestine","Fr","P","-","R/R",0,0,0,0.2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,1,0,2,0,597157,2025,1,0,0.5,0,0,0,0
"114","Hits-AB w2outs","Grady Vanidestine","Fr","P","-","R/R",0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597157,2025,NA,NA,NA,NA,Inf,1,Inf
"115","Bases Empty","Grady Vanidestine","Fr","P","-","R/R",0,0,0,4.2,0,2,0,0,4,6,0,20,16,0,0,0,0,0,0,0,0,0,0,0,NA,5,3,0,0,0,3,0,16,0.125,597157,2025,0.375,0.625,0.3,0.2,0.3,2,0.425
"116","H-AB scorepos","Grady Vanidestine","Fr","P","-","R/R",0,0,0,2,0,3,0,0,1,3,0,11,9,2,0,0,1,1,1,0,0,0,0,0,NA,0,3,0,0,0,1,0,9,0.333333333333333,597157,2025,1,0,0.272727272727273,0.0909090909090909,0.454545454545455,0,1.34343434343434
"117","H-AB scorepos2","Grady Vanidestine","Fr","P","-","R/R",0,0,0,1.1,0,0,0,0,1,2,0,5,4,0,0,0,0,1,0,0,0,0,0,0,NA,0,2,0,0,0,1,0,4,0,597157,2025,1,0,0.4,0.2,0.2,0,0.2
"118","H-AB runners2","Grady Vanidestine","Fr","P","-","R/R",0,0,0,1.2,0,0,0,0,1,2,0,6,5,0,0,0,0,2,0,0,0,0,0,0,NA,0,3,0,0,0,1,0,5,0,597157,2025,1,0,0.333333333333333,0.166666666666667,0.166666666666667,0,0.166666666666667
"119","H-AB bases loaded","Grady Vanidestine","Fr","P","-","R/R",0,0,0,0.2,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,2,0,597157,2025,1,0,0,0,0,0,0
"120","Hits-AB vs rhb","Grady Vanidestine","Fr","P","-","R/R",0,0,0,7.2,0,5,0,0,7,10,0,35,27,2,0,0,1,2,1,0,0,0,0,0,NA,6,6,0,0,0,3,0,27,0.185185185185185,597157,2025,0.5,0.5,0.285714285714286,0.2,0.371428571428571,2,0.741798941798942
"121","34","Colby Correia","Fr","P","-","R/R",8,1,2.89,9.1,0,10,5,3,7,9,0,46,38,4,0,0,0,0,0,0,0,0,0,1,191,10,9,1,0,0,2,0,38,0.263157894736842,597157,2025,0.473684210526316,0.526315789473684,0.195652173913043,0.152173913043478,0.369565217391304,6,0.737986270022883
"122","Succ-Opp against Leadoff Batter","Colby Correia","Fr","P","-","R/R",0,0,0,3,0,1,0,0,1,3,0,11,10,0,0,0,0,0,0,0,0,0,0,0,NA,4,2,0,0,0,1,0,10,0.1,597157,2025,0.333333333333333,0.666666666666667,0.272727272727273,0.0909090909090909,0.181818181818182,1,0.281818181818182
"123","Hits-AB with runners ob","Colby Correia","Fr","P","-","R/R",0,0,0,3.2,0,5,0,0,4,2,0,21,17,2,0,0,0,0,0,0,0,0,0,0,NA,4,5,0,0,0,0,0,17,0.294117647058824,597157,2025,0.555555555555556,0.444444444444444,0.0952380952380952,0.19047619047619,0.428571428571429,3,0.840336134453781
"124","Hits-AB vs lhb","Colby Correia","Fr","P","-","R/R",0,0,0,0.2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,2,0,597157,2025,1,0,0,0,0,0,0
"125","Hits-AB w2outs","Colby Correia","Fr","P","-","R/R",0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597157,2025,NA,NA,NA,NA,Inf,4,Inf
"126","Bases Empty","Colby Correia","Fr","P","-","R/R",0,0,0,5.2,0,5,0,0,3,7,0,25,22,2,0,0,0,0,0,0,0,0,0,0,NA,6,4,0,0,0,2,0,22,0.227272727272727,597157,2025,0.4,0.6,0.28,0.12,0.32,3,0.638181818181818
"127","H-AB scorepos","Colby Correia","Fr","P","-","R/R",0,0,0,2.1,0,3,0,0,3,0,0,13,10,1,0,0,0,0,0,0,0,0,0,0,NA,3,4,0,0,0,0,0,10,0.3,597157,2025,0.571428571428571,0.428571428571429,0,0.230769230769231,0.461538461538462,2,0.861538461538462
"128","H-AB scorepos2","Colby Correia","Fr","P","-","R/R",0,0,0,1.2,0,2,0,0,3,0,0,10,7,1,0,0,0,0,0,0,0,0,0,0,NA,2,3,0,0,0,0,0,7,0.285714285714286,597157,2025,0.6,0.4,0,0.3,0.5,1,0.928571428571429
"129","H-AB runners2","Colby Correia","Fr","P","-","R/R",0,0,0,2,0,2,0,0,3,0,0,11,8,1,0,0,0,0,0,0,0,0,0,0,NA,3,3,0,0,0,0,0,8,0.25,597157,2025,0.5,0.5,0,0.272727272727273,0.454545454545455,1,0.829545454545455
"130","H-AB bases loaded","Colby Correia","Fr","P","-","R/R",0,0,0,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,1,0,597157,2025,0,1,0,0,0,0,0
"131","Hits-AB vs rhb","Colby Correia","Fr","P","-","R/R",0,0,0,8.2,0,9,0,0,7,9,0,43,36,4,0,0,0,0,0,0,0,0,0,0,NA,10,7,0,0,0,2,0,36,0.25,597157,2025,0.411764705882353,0.588235294117647,0.209302325581395,0.162790697674419,0.372093023255814,5,0.733204134366925
"132","46","Max Jarvie","Fr","UT","-","R/R",12,0,2.3,15.2,0,14,6,4,6,16,0,71,61,6,0,0,0,1,2,0,0,0,1,1,221,16,14,0,0,0,3,0,61,0.229508196721311,597157,2025,0.466666666666667,0.533333333333333,0.225352112676056,0.0845070422535211,0.314285714285714,8,0.642154566744731
"133","Succ-Opp against Leadoff Batter","Max Jarvie","Fr","UT","-","R/R",0,0,0,3.2,0,2,0,0,1,4,0,14,13,1,0,0,0,0,0,0,0,0,0,0,NA,4,3,0,0,0,2,0,13,0.153846153846154,597157,2025,0.428571428571429,0.571428571428571,0.285714285714286,0.0714285714285714,0.214285714285714,1,0.445054945054945
"134","Hits-AB with runners ob","Max Jarvie","Fr","UT","-","R/R",0,0,0,9,0,9,0,0,2,9,0,40,37,4,0,0,0,1,1,0,0,0,0,0,NA,5,10,0,0,0,1,0,37,0.243243243243243,597157,2025,0.666666666666667,0.333333333333333,0.225,0.05,0.3,5,0.651351351351351
"135","Hits-AB vs lhb","Max Jarvie","Fr","UT","-","R/R",0,0,0,3.1,0,2,0,0,0,1,0,14,13,1,0,0,0,0,1,0,0,0,0,0,NA,3,6,0,0,0,0,0,13,0.153846153846154,597157,2025,0.666666666666667,0.333333333333333,0.0714285714285714,0,0.214285714285714,1,0.445054945054945
"136","Hits-AB w2outs","Max Jarvie","Fr","UT","-","R/R",0,0,0,0,0,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597157,2025,NA,NA,NA,NA,Inf,4,Inf
"137","Bases Empty","Max Jarvie","Fr","UT","-","R/R",0,0,0,6.2,0,5,0,0,4,7,0,31,26,2,0,0,0,0,1,0,0,0,0,0,NA,9,4,0,0,0,2,0,26,0.192307692307692,597157,2025,0.307692307692308,0.692307692307692,0.225806451612903,0.129032258064516,0.32258064516129,3,0.59181141439206
"138","H-AB scorepos","Max Jarvie","Fr","UT","-","R/R",0,0,0,6,0,5,0,0,2,8,0,27,24,4,0,0,0,0,1,0,0,0,0,0,NA,3,6,0,0,0,1,0,24,0.208333333333333,597157,2025,0.666666666666667,0.333333333333333,0.296296296296296,0.0740740740740741,0.296296296296296,1,0.671296296296296
"139","H-AB scorepos2","Max Jarvie","Fr","UT","-","R/R",0,0,0,2.2,0,3,0,0,0,3,0,11,11,2,0,0,0,0,0,0,0,0,0,0,NA,3,2,0,0,0,0,0,11,0.272727272727273,597157,2025,0.4,0.6,0.272727272727273,0,0.272727272727273,1,0.727272727272727
"140","H-AB runners2","Max Jarvie","Fr","UT","-","R/R",0,0,0,4,0,3,0,0,0,3,0,15,15,2,0,0,0,1,0,0,0,0,0,0,NA,5,4,0,0,0,0,0,15,0.2,597157,2025,0.444444444444444,0.555555555555556,0.2,0,0.2,1,0.533333333333333
