"","number","player","yr","pos","ht","b_t","app","gs","era","ip","cg","h","r","er","bb","so","sho","bf","p_oab","x2b_a","x3b_a","bk","hr_a","wp","hb","ibb","inh_run","inh_run_score","sha","sfa","pitches","go","fo","w","l","sv","kl","pickoffs","AB","BAA","team_id","year","flyout_perc","groundout_perc","k_perc","bb_perc","obp","x1b_a","ops"
"1068","Hits-AB w2outs","Totals","-","-","-","-",0,0,0,0,0,134,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597043,2025,NA,NA,NA,NA,Inf,134,Inf
"1069","Bases Empty","Totals","-","-","-","-",0,0,0,115,0,188,0,0,73,89,0,652,559,29,3,0,7,0,20,0,0,0,0,0,NA,124,141,0,0,0,29,0,559,0.336314847942755,597043,2025,0.532075471698113,0.467924528301887,0.136503067484663,0.111963190184049,0.430981595092025,149,0.867475333911345
"1070","H-AB scorepos","Totals","-","-","-","-",0,0,0,129.1,0,158,0,0,54,73,0,609,522,29,2,3,12,19,20,6,0,0,0,0,NA,124,138,0,0,0,21,0,529,0.298676748582231,597043,2025,0.526717557251908,0.473282442748092,0.119868637110016,0.0886699507389163,0.384742951907131,115,0.813854483098057
"1071","H-AB scorepos2","Totals","-","-","-","-",0,0,0,54.1,0,71,0,0,23,32,0,267,236,13,1,2,6,11,8,0,0,0,0,0,NA,52,64,0,0,0,9,0,236,0.300847457627119,597043,2025,0.551724137931034,0.448275862068966,0.119850187265918,0.0861423220973783,0.382022471910112,51,0.822700438011807
"1072","H-AB runners2","Totals","-","-","-","-",0,0,0,73.1,0,97,0,0,32,39,0,364,320,22,2,3,7,17,12,0,0,0,0,0,NA,63,90,0,0,0,10,0,320,0.303125,597043,2025,0.588235294117647,0.411764705882353,0.107142857142857,0.0879120879120879,0.387362637362637,66,0.837362637362637
"1073","H-AB bases loaded","Totals","-","-","-","-",0,0,0,14.1,0,23,0,0,3,7,0,67,62,5,0,0,3,4,2,0,0,0,0,0,NA,14,11,0,0,0,4,0,62,0.370967741935484,597043,2025,0.44,0.56,0.104477611940299,0.0447761194029851,0.417910447761194,15,1.01468464130958
"1074","Hits-AB vs rhb","Totals","-","-","-","-",0,0,0,267,0,372,0,0,128,154,0,0,NA,67,7,4,17,23,46,6,0,0,0,0,NA,253,307,0,0,0,49,0,-180,-2.06666666666667,597043,2025,0.548214285714286,0.451785714285714,Inf,Inf,-91,281,-93.8
"1075","-","Opponent Totals","-","-","-","-",0,0,4.57,318.3,3,311,191,162,132,232,2,0,NA,56,7,3,16,27,63,2,0,0,12,18,NA,336,348,0,0,7,80,25,-227,-1.37004405286344,597043,2025,0.508771929824561,0.491228070175439,Inf,Inf,-36.1428571428571,232,-38.0327249842668
"1076","22","Brady Aubuchon","Sr","P","6-0","R/R",15,2,4.7,23,0,19,13,12,20,14,0,114,82,1,1,0,2,3,7,1,0,0,4,1,432,23,30,0,2,2,6,0,81,0.234567901234568,597066,2025,0.566037735849057,0.433962264150943,0.12280701754386,0.175438596491228,0.422018348623853,15,0.767697360969532
"1077","Succ-Opp against Leadoff Batter","Brady Aubuchon","Sr","P","6-0","R/R",0,0,0,4,0,4,0,0,5,1,0,22,16,1,1,0,1,0,1,0,0,0,0,0,NA,3,8,0,0,0,0,0,16,0.25,597066,2025,0.727272727272727,0.272727272727273,0.0454545454545455,0.227272727272727,0.454545454545455,1,1.07954545454545
"1078","Hits-AB with runners ob","Brady Aubuchon","Sr","P","6-0","R/R",0,0,0,14.1,0,10,0,0,13,9,0,70,48,0,0,0,0,3,5,1,0,0,0,0,NA,13,17,0,0,0,5,0,51,0.196078431372549,597066,2025,0.566666666666667,0.433333333333333,0.128571428571429,0.185714285714286,0.405797101449275,10,0.601875532821824
"1079","Hits-AB vs lhb","Brady Aubuchon","Sr","P","6-0","R/R",0,0,0,4.1,0,2,0,0,6,2,0,22,14,0,0,0,0,2,1,1,0,0,0,0,NA,3,6,0,0,0,1,0,14,0.142857142857143,597066,2025,0.666666666666667,0.333333333333333,0.0909090909090909,0.272727272727273,0.428571428571429,2,0.571428571428571
"1080","Hits-AB w2outs","Brady Aubuchon","Sr","P","6-0","R/R",0,0,0,0,0,9,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597066,2025,NA,NA,NA,NA,Inf,9,Inf
"1081","Bases Empty","Brady Aubuchon","Sr","P","6-0","R/R",0,0,0,8.2,0,9,0,0,7,5,0,45,36,1,1,0,2,0,2,0,0,0,0,0,NA,8,13,0,0,0,1,0,36,0.25,597066,2025,0.619047619047619,0.380952380952381,0.111111111111111,0.155555555555556,0.4,5,0.9
"1082","H-AB scorepos","Brady Aubuchon","Sr","P","6-0","R/R",0,0,0,9.2,0,8,0,0,11,8,0,52,35,0,0,0,0,1,4,1,0,0,0,0,NA,8,11,0,0,0,5,0,36,0.222222222222222,597066,2025,0.578947368421053,0.421052631578947,0.153846153846154,0.211538461538462,0.450980392156863,8,0.673202614379085
"1083","H-AB scorepos2","Brady Aubuchon","Sr","P","6-0","R/R",0,0,0,3.2,0,5,0,0,10,3,0,27,16,0,0,0,0,0,1,1,0,0,0,0,NA,3,3,0,0,0,2,0,15,0.333333333333333,597066,2025,0.5,0.5,0.111111111111111,0.37037037037037,0.615384615384615,5,0.948717948717949
"1084","H-AB runners2","Brady Aubuchon","Sr","P","6-0","R/R",0,0,0,5,0,7,0,0,10,4,0,33,22,0,0,0,0,1,1,1,0,0,0,0,NA,4,5,0,0,0,2,0,21,0.333333333333333,597066,2025,0.555555555555556,0.444444444444444,0.121212121212121,0.303030303030303,0.5625,7,0.895833333333333
"1085","H-AB bases loaded","Brady Aubuchon","Sr","P","6-0","R/R",0,0,0,1.2,0,1,0,0,1,3,0,7,6,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,2,0,6,0.166666666666667,597066,2025,1,0,0.428571428571429,0.142857142857143,0.285714285714286,1,0.452380952380952
"1086","Hits-AB vs rhb","Brady Aubuchon","Sr","P","6-0","R/R",0,0,0,18.1,0,17,0,0,14,12,0,92,69,1,1,0,2,1,6,0,0,0,0,0,NA,18,23,0,0,0,5,0,72,0.236111111111111,597066,2025,0.560975609756098,0.439024390243902,0.130434782608696,0.152173913043478,0.402173913043478,13,0.763285024154589
"1087","21","Connor Whitehead","Jr","P","6-0","R/R",11,1,9.58,10.1,0,13,13,11,13,15,0,58,43,1,0,0,3,2,2,0,0,0,0,0,199,4,10,0,1,1,3,0,43,0.302325581395349,597066,2025,0.714285714285714,0.285714285714286,0.258620689655172,0.224137931034483,0.482758620689655,9,1.01764234161989
"1088","Succ-Opp against Leadoff Batter","Connor Whitehead","Jr","P","6-0","R/R",0,0,0,2,0,4,0,0,2,2,0,13,10,0,0,0,2,0,1,0,0,0,0,0,NA,2,2,0,0,0,0,0,10,0.4,597066,2025,0.5,0.5,0.153846153846154,0.153846153846154,0.538461538461538,2,1.53846153846154
"1089","Hits-AB with runners ob","Connor Whitehead","Jr","P","6-0","R/R",0,0,0,5.2,0,6,0,0,8,9,0,31,22,1,0,0,1,2,1,0,0,0,0,0,NA,2,4,0,0,0,1,0,22,0.272727272727273,597066,2025,0.666666666666667,0.333333333333333,0.290322580645161,0.258064516129032,0.483870967741935,4,0.93841642228739
"1090","Hits-AB vs lhb","Connor Whitehead","Jr","P","6-0","R/R",0,0,0,1.1,0,2,0,0,2,3,0,8,6,0,0,0,1,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,6,0.333333333333333,597066,2025,1,0,0.375,0.25,0.5,1,1.33333333333333
"1091","Hits-AB w2outs","Connor Whitehead","Jr","P","6-0","R/R",0,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597066,2025,NA,NA,NA,NA,Inf,3,Inf
"1092","Bases Empty","Connor Whitehead","Jr","P","6-0","R/R",0,0,0,4.2,0,7,0,0,5,6,0,28,22,0,0,0,2,0,1,0,0,0,0,0,NA,2,6,0,0,0,2,0,22,0.318181818181818,597066,2025,0.75,0.25,0.214285714285714,0.178571428571429,0.464285714285714,5,1.05519480519481
"1093","H-AB scorepos","Connor Whitehead","Jr","P","6-0","R/R",0,0,0,3,0,2,0,0,5,6,0,17,11,1,0,0,0,1,1,0,0,0,0,0,NA,2,1,0,0,0,1,0,11,0.181818181818182,597066,2025,0.333333333333333,0.666666666666667,0.352941176470588,0.294117647058824,0.470588235294118,1,0.74331550802139
"1094","H-AB scorepos2","Connor Whitehead","Jr","P","6-0","R/R",0,0,0,1.2,0,1,0,0,3,4,0,9,6,1,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,6,0.166666666666667,597066,2025,0,1,0.444444444444444,0.333333333333333,0.444444444444444,0,0.777777777777778
"1095","H-AB runners2","Connor Whitehead","Jr","P","6-0","R/R",0,0,0,2.1,0,2,0,0,4,5,0,13,9,1,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,9,0.222222222222222,597066,2025,0.5,0.5,0.384615384615385,0.307692307692308,0.461538461538462,1,0.794871794871795
"1096","H-AB bases loaded","Connor Whitehead","Jr","P","6-0","R/R",0,0,0,1.2,0,1,0,0,1,3,0,7,6,1,0,0,0,1,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,6,0.166666666666667,597066,2025,0.5,0.5,0.428571428571429,0.142857142857143,0.285714285714286,0,0.619047619047619
"1097","Hits-AB vs rhb","Connor Whitehead","Jr","P","6-0","R/R",0,0,0,9,0,11,0,0,11,12,0,50,38,1,0,0,2,2,1,0,0,0,0,0,NA,4,9,0,0,0,3,0,38,0.289473684210526,597066,2025,0.692307692307692,0.307692307692308,0.24,0.22,0.46,8,0.933684210526316
"1098","11","Alec Peruzzi","Jr","OF","6-3","L/R",11,7,5.52,44,0,52,30,27,21,37,0,207,179,9,1,1,3,5,4,0,0,0,3,0,678,42,48,0,2,0,10,1,179,0.290502793296089,597066,2025,0.533333333333333,0.466666666666667,0.178743961352657,0.101449275362319,0.377450980392157,39,0.779685617263665
"1099","Succ-Opp against Leadoff Batter","Alec Peruzzi","Jr","OF","6-3","L/R",0,0,0,10.1,0,11,0,0,3,9,0,45,42,2,0,0,1,0,0,0,0,0,0,0,NA,5,17,0,0,0,3,0,42,0.261904761904762,597066,2025,0.772727272727273,0.227272727272727,0.2,0.0666666666666667,0.311111111111111,8,0.692063492063492
"1100","Hits-AB with runners ob","Alec Peruzzi","Jr","OF","6-3","L/R",0,0,0,23,0,27,0,0,11,16,0,107,91,5,1,1,2,4,2,0,0,0,0,0,NA,26,20,0,0,0,5,0,94,0.287234042553192,597066,2025,0.434782608695652,0.565217391304348,0.149532710280374,0.102803738317757,0.373831775700935,19,0.799363690594552
"1101","Hits-AB vs lhb","Alec Peruzzi","Jr","OF","6-3","L/R",0,0,0,4.1,0,4,0,0,7,2,0,25,18,1,0,0,0,1,0,0,0,0,0,0,NA,7,4,0,0,0,1,0,18,0.222222222222222,597066,2025,0.363636363636364,0.636363636363636,0.08,0.28,0.44,3,0.717777777777778
"1102","Hits-AB w2outs","Alec Peruzzi","Jr","OF","6-3","L/R",0,0,0,0,0,24,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597066,2025,NA,NA,NA,NA,Inf,24,Inf
"1103","Bases Empty","Alec Peruzzi","Jr","OF","6-3","L/R",0,0,0,21,0,25,0,0,10,21,0,103,91,4,0,0,1,1,2,0,0,0,0,0,NA,15,28,0,0,0,5,0,91,0.274725274725275,597066,2025,0.651162790697674,0.348837209302326,0.203883495145631,0.0970873786407767,0.359223300970874,20,0.710871652619225
"1104","H-AB scorepos","Alec Peruzzi","Jr","OF","6-3","L/R",0,0,0,14.1,0,16,0,0,8,9,0,65,56,2,1,0,0,3,0,0,0,0,0,0,NA,18,11,0,0,0,3,0,57,0.280701754385965,597066,2025,0.379310344827586,0.620689655172414,0.138461538461538,0.123076923076923,0.369230769230769,13,0.720107962213225
"1105","H-AB scorepos2","Alec Peruzzi","Jr","OF","6-3","L/R",0,0,0,7.2,0,11,0,0,7,5,0,41,34,1,1,0,0,3,0,0,0,0,0,0,NA,9,7,0,0,0,0,0,34,0.323529411764706,597066,2025,0.4375,0.5625,0.121951219512195,0.170731707317073,0.439024390243902,9,0.850789096126255
"1106","H-AB runners2","Alec Peruzzi","Jr","OF","6-3","L/R",0,0,0,11.1,0,16,0,0,8,7,0,59,50,4,1,0,1,3,1,0,0,0,0,0,NA,12,12,0,0,0,0,0,50,0.32,597066,2025,0.5,0.5,0.11864406779661,0.135593220338983,0.423728813559322,10,0.923728813559322
"1107","H-AB bases loaded","Alec Peruzzi","Jr","OF","6-3","L/R",0,0,0,1.1,0,1,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,NA,2,1,0,0,0,0,0,5,0.2,597066,2025,0.333333333333333,0.666666666666667,0.2,0,0.2,1,0.4
"1108","Hits-AB vs rhb","Alec Peruzzi","Jr","OF","6-3","L/R",0,0,0,39.2,0,47,0,0,13,35,0,183,163,8,1,1,3,4,4,0,0,0,0,0,NA,34,44,0,0,0,9,0,166,0.283132530120482,597066,2025,0.564102564102564,0.435897435897436,0.191256830601093,0.0710382513661202,0.349726775956284,35,0.747317137402067
"1109","5","Brandon Farinas","So","P","5-7","R/R",11,0,5.54,13,0,19,12,8,2,6,0,63,58,5,0,0,0,1,1,0,0,0,1,1,210,17,16,2,2,1,4,0,58,0.327586206896552,597066,2025,0.484848484848485,0.515151515151515,0.0952380952380952,0.0317460317460317,0.354838709677419,14,0.768631813125695
"1110","Succ-Opp against Leadoff Batter","Brandon Farinas","So","P","5-7","R/R",0,0,0,3,0,2,0,0,0,1,0,12,12,1,0,0,0,0,0,0,0,0,0,0,NA,5,3,0,0,0,0,0,12,0.166666666666667,597066,2025,0.375,0.625,0.0833333333333333,0,0.166666666666667,1,0.416666666666667
"1111","Hits-AB with runners ob","Brandon Farinas","So","P","5-7","R/R",0,0,0,7.1,0,13,0,0,0,4,0,37,35,3,0,0,0,1,1,0,0,0,0,0,NA,11,7,0,0,0,4,0,36,0.361111111111111,597066,2025,0.388888888888889,0.611111111111111,0.108108108108108,0,0.378378378378378,10,0.822822822822823
"1112","Hits-AB vs lhb","Brandon Farinas","So","P","5-7","R/R",0,0,0,2.1,0,2,0,0,1,2,0,10,9,1,0,0,0,0,0,0,0,0,0,0,NA,4,1,0,0,0,1,0,9,0.222222222222222,597066,2025,0.2,0.8,0.2,0.1,0.3,1,0.633333333333333
"1113","Hits-AB w2outs","Brandon Farinas","So","P","5-7","R/R",0,0,0,0,0,8,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597066,2025,NA,NA,NA,NA,Inf,8,Inf
"1114","Bases Empty","Brandon Farinas","So","P","5-7","R/R",0,0,0,5.2,0,6,0,0,2,2,0,26,24,2,0,0,0,0,0,0,0,0,0,0,NA,6,9,0,0,0,0,0,24,0.25,597066,2025,0.6,0.4,0.0769230769230769,0.0769230769230769,0.307692307692308,4,0.641025641025641
"1115","H-AB scorepos","Brandon Farinas","So","P","5-7","R/R",0,0,0,6.1,0,10,0,0,0,3,0,31,30,2,0,0,0,0,1,0,0,0,0,0,NA,9,7,0,0,0,3,0,30,0.333333333333333,597066,2025,0.4375,0.5625,0.0967741935483871,0,0.354838709677419,8,0.754838709677419
"1116","H-AB scorepos2","Brandon Farinas","So","P","5-7","R/R",0,0,0,3,0,5,0,0,0,0,0,14,14,1,0,0,0,0,0,0,0,0,0,0,NA,6,3,0,0,0,0,0,14,0.357142857142857,597066,2025,0.333333333333333,0.666666666666667,0,0,0.357142857142857,4,0.785714285714286
"1117","H-AB runners2","Brandon Farinas","So","P","5-7","R/R",0,0,0,3.1,0,6,0,0,0,0,0,16,16,2,0,0,0,0,0,0,0,0,0,0,NA,7,3,0,0,0,0,0,16,0.375,597066,2025,0.3,0.7,0,0,0.375,4,0.875
"1118","H-AB bases loaded","Brandon Farinas","So","P","5-7","R/R",0,0,0,1.1,0,2,0,0,0,1,0,8,7,0,0,0,0,0,1,0,0,0,0,0,NA,1,2,0,0,0,1,0,7,0.285714285714286,597066,2025,0.666666666666667,0.333333333333333,0.125,0,0.375,2,0.660714285714286
"1119","Hits-AB vs rhb","Brandon Farinas","So","P","5-7","R/R",0,0,0,10.2,0,17,0,0,1,4,0,53,50,4,0,0,0,1,1,0,0,0,0,0,NA,13,15,0,0,0,3,0,51,0.333333333333333,597066,2025,0.535714285714286,0.464285714285714,0.0754716981132075,0.0188679245283019,0.358490566037736,13,0.770255271920089
"1120","10","Cooper Smith","Jr","P","6-4","R/R",11,4,7.71,16.1,0,22,15,14,8,14,0,79,67,5,0,0,1,5,1,0,0,0,1,2,314,22,11,3,1,0,3,1,67,0.328358208955224,597066,2025,0.333333333333333,0.666666666666667,0.177215189873418,0.10126582278481,0.397435897435897,16,0.845197091465748
"1121","Succ-Opp against Leadoff Batter","Cooper Smith","Jr","P","6-4","R/R",0,0,0,2.2,0,3,0,0,2,2,0,14,12,0,0,0,0,1,0,0,0,0,0,0,NA,4,3,0,0,0,0,0,12,0.25,597066,2025,0.428571428571429,0.571428571428571,0.142857142857143,0.142857142857143,0.357142857142857,3,0.607142857142857
"1122","Hits-AB with runners ob","Cooper Smith","Jr","P","6-4","R/R",0,0,0,11,0,14,0,0,2,8,0,51,47,4,0,0,1,4,1,0,0,0,0,0,NA,12,8,0,0,0,2,0,48,0.291666666666667,597066,2025,0.4,0.6,0.156862745098039,0.0392156862745098,0.333333333333333,9,0.770833333333333
"1123","Hits-AB vs lhb","Cooper Smith","Jr","P","6-4","R/R",0,0,0,5,0,6,0,0,0,5,0,20,20,0,0,0,0,1,0,0,0,0,0,0,NA,6,2,0,0,0,1,0,20,0.3,597066,2025,0.25,0.75,0.25,0,0.3,6,0.6
"1124","Hits-AB w2outs","Cooper Smith","Jr","P","6-4","R/R",0,0,0,0,0,8,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597066,2025,NA,NA,NA,NA,Inf,8,Inf
"1125","Bases Empty","Cooper Smith","Jr","P","6-4","R/R",0,0,0,5.1,0,8,0,0,6,6,0,30,24,1,0,0,0,1,0,0,0,0,0,0,NA,7,3,0,0,0,1,0,24,0.333333333333333,597066,2025,0.3,0.7,0.2,0.2,0.466666666666667,7,0.841666666666667
"1126","H-AB scorepos","Cooper Smith","Jr","P","6-4","R/R",0,0,0,6.2,0,8,0,0,2,6,0,32,29,2,0,0,0,4,1,0,0,0,0,0,NA,7,6,0,0,0,1,0,29,0.275862068965517,597066,2025,0.461538461538462,0.538461538461538,0.1875,0.0625,0.34375,6,0.688577586206897
"1127","H-AB scorepos2","Cooper Smith","Jr","P","6-4","R/R",0,0,0,3,0,4,0,0,1,2,0,15,13,0,0,0,0,2,1,0,0,0,0,0,NA,4,3,0,0,0,1,0,13,0.307692307692308,597066,2025,0.428571428571429,0.571428571428571,0.133333333333333,0.0666666666666667,0.4,4,0.707692307692308
"1128","H-AB runners2","Cooper Smith","Jr","P","6-4","R/R",0,0,0,4,0,7,0,0,1,3,0,21,19,1,0,0,0,2,1,0,0,0,0,0,NA,6,3,0,0,0,1,0,19,0.368421052631579,597066,2025,0.333333333333333,0.666666666666667,0.142857142857143,0.0476190476190476,0.428571428571429,6,0.849624060150376
"1129","H-AB bases loaded","Cooper Smith","Jr","P","6-4","R/R",0,0,0,1.1,0,2,0,0,1,1,0,7,6,1,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,6,0.333333333333333,597066,2025,1,0,0.142857142857143,0.142857142857143,0.428571428571429,1,0.928571428571429
"1130","Hits-AB vs rhb","Cooper Smith","Jr","P","6-4","R/R",0,0,0,11,0,16,0,0,8,9,0,60,50,5,0,0,1,4,1,0,0,0,0,0,NA,12,9,0,0,0,2,0,51,0.313725490196078,597066,2025,0.428571428571429,0.571428571428571,0.15,0.133333333333333,0.416666666666667,10,0.887254901960784
"1131","17","Jacob DeCoste","So","P","6-1","R/R",10,0,4.5,12,0,8,6,6,3,8,0,54,43,1,0,1,2,1,7,0,0,0,0,1,170,9,19,0,1,0,4,0,43,0.186046511627907,597066,2025,0.678571428571429,0.321428571428571,0.148148148148148,0.0555555555555556,0.333333333333333,5,0.682170542635659
"1132","Succ-Opp against Leadoff Batter","Jacob DeCoste","So","P","6-1","R/R",0,0,0,3,0,1,0,0,0,2,0,11,10,1,0,0,0,0,1,0,0,0,0,0,NA,1,6,0,0,0,1,0,10,0.1,597066,2025,0.857142857142857,0.142857142857143,0.181818181818182,0,0.181818181818182,0,0.381818181818182
"1133","Hits-AB with runners ob","Jacob DeCoste","So","P","6-1","R/R",0,0,0,5,0,6,0,0,1,2,0,25,21,0,0,1,2,1,3,0,0,0,0,0,NA,5,8,0,0,0,2,0,21,0.285714285714286,597066,2025,0.615384615384615,0.384615384615385,0.08,0.04,0.4,4,0.971428571428571
"1134","Hits-AB vs lhb","Jacob DeCoste","So","P","6-1","R/R",0,0,0,2.1,0,1,0,0,2,1,0,10,8,0,0,0,0,1,0,0,0,0,0,0,NA,0,6,0,0,0,0,0,8,0.125,597066,2025,1,0,0.1,0.2,0.3,1,0.425
"1135","Hits-AB w2outs","Jacob DeCoste","So","P","6-1","R/R",0,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597066,2025,NA,NA,NA,NA,Inf,3,Inf
"1136","Bases Empty","Jacob DeCoste","So","P","6-1","R/R",0,0,0,7,0,2,0,0,2,6,0,29,23,1,0,0,0,0,4,0,0,0,0,0,NA,4,11,0,0,0,2,0,23,0.0869565217391304,597066,2025,0.733333333333333,0.266666666666667,0.206896551724138,0.0689655172413793,0.275862068965517,1,0.406296851574213
"1137","H-AB scorepos","Jacob DeCoste","So","P","6-1","R/R",0,0,0,3.1,0,4,0,0,1,0,0,17,14,0,0,0,2,1,2,0,0,0,0,0,NA,3,7,0,0,0,0,0,14,0.285714285714286,597066,2025,0.7,0.3,0,0.0588235294117647,0.411764705882353,2,1.12605042016807
"1138","H-AB scorepos2","Jacob DeCoste","So","P","6-1","R/R",0,0,0,2,0,2,0,0,1,0,0,11,8,0,0,0,1,1,2,0,0,0,0,0,NA,2,4,0,0,0,0,0,8,0.25,597066,2025,0.666666666666667,0.333333333333333,0,0.0909090909090909,0.454545454545455,1,1.07954545454545
"1139","H-AB runners2","Jacob DeCoste","So","P","6-1","R/R",0,0,0,3,0,3,0,0,1,2,0,16,12,0,0,0,1,1,3,0,0,0,0,0,NA,3,4,0,0,0,2,0,12,0.25,597066,2025,0.571428571428571,0.428571428571429,0.125,0.0625,0.4375,2,0.9375
"1140","H-AB bases loaded","Jacob DeCoste","So","P","6-1","R/R",0,0,0,1.2,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,NA,0,5,0,0,0,0,0,5,0,597066,2025,1,0,0,0,0,0,0
"1141","Hits-AB vs rhb","Jacob DeCoste","So","P","6-1","R/R",0,0,0,9,0,7,0,0,1,7,0,42,34,1,0,1,2,0,7,0,0,0,0,0,NA,8,12,0,0,0,4,0,34,0.205882352941176,597066,2025,0.6,0.4,0.166666666666667,0.0238095238095238,0.357142857142857,4,0.76890756302521
"1142","19","Michael Archambault","So","P","6-1","R/L",8,4,3.65,24.2,0,25,14,10,11,18,0,119,93,5,1,0,1,0,11,0,0,0,1,2,416,29,22,1,2,0,7,1,94,0.265957446808511,597066,2025,0.431372549019608,0.568627450980392,0.151260504201681,0.092436974789916,0.398305084745763,18,0.770645510277678
"1143","Succ-Opp against Leadoff Batter","Michael Archambault","So","P","6-1","R/L",0,0,0,5.2,0,5,0,0,1,3,0,25,22,1,0,0,0,0,2,0,0,0,0,0,NA,8,6,0,0,0,1,0,22,0.227272727272727,597066,2025,0.428571428571429,0.571428571428571,0.12,0.04,0.32,4,0.592727272727273
"1144","Hits-AB with runners ob","Michael Archambault","So","P","6-1","R/L",0,0,0,13.2,0,15,0,0,5,11,0,67,52,1,1,0,0,0,8,0,0,0,0,0,NA,14,10,0,0,0,5,0,54,0.277777777777778,597066,2025,0.416666666666667,0.583333333333333,0.164179104477612,0.0746268656716418,0.417910447761194,13,0.751243781094527
"1145","Hits-AB vs lhb","Michael Archambault","So","P","6-1","R/L",0,0,0,2.2,0,6,0,0,1,1,0,18,13,0,0,0,0,0,2,0,0,0,0,0,NA,5,2,0,0,0,0,0,15,0.4,597066,2025,0.285714285714286,0.714285714285714,0.0555555555555556,0.0555555555555556,0.5,6,0.9
"1146","Hits-AB w2outs","Michael Archambault","So","P","6-1","R/L",0,0,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597066,2025,NA,NA,NA,NA,Inf,1,Inf
"1147","Bases Empty","Michael Archambault","So","P","6-1","R/L",0,0,0,11,0,10,0,0,6,7,0,53,44,4,0,0,1,0,3,0,0,0,0,0,NA,14,12,0,0,0,2,0,44,0.227272727272727,597066,2025,0.461538461538462,0.538461538461538,0.132075471698113,0.113207547169811,0.358490566037736,5,0.744854202401372
"1148","H-AB scorepos","Michael Archambault","So","P","6-1","R/L",0,0,0,10.1,0,10,0,0,4,8,0,49,37,1,1,0,0,0,7,0,0,0,0,0,NA,11,8,0,0,0,3,0,38,0.263157894736842,597066,2025,0.421052631578947,0.578947368421053,0.163265306122449,0.0816326530612245,0.428571428571429,8,0.770676691729323
"1149","H-AB scorepos2","Michael Archambault","So","P","6-1","R/L",0,0,0,4,0,0,0,0,2,4,0,20,12,0,0,0,0,0,6,0,0,0,0,0,NA,5,3,0,0,0,1,0,12,0,597066,2025,0.375,0.625,0.2,0.1,0.4,0,0.4
"1150","H-AB runners2","Michael Archambault","So","P","6-1","R/L",0,0,0,5,0,1,0,0,2,4,0,25,16,0,0,0,0,0,7,0,0,0,0,0,NA,7,3,0,0,0,1,0,16,0.0625,597066,2025,0.3,0.7,0.16,0.08,0.4,1,0.4625
"1151","H-AB bases loaded","Michael Archambault","So","P","6-1","R/L",0,0,0,3,0,0,0,0,0,2,0,10,8,0,0,0,0,0,2,0,0,0,0,0,NA,5,1,0,0,0,0,0,8,0,597066,2025,0.166666666666667,0.833333333333333,0.2,0,0.2,0,0.2
"1152","Hits-AB vs rhb","Michael Archambault","So","P","6-1","R/L",0,0,0,22,0,19,0,0,10,17,0,102,83,5,1,0,1,0,9,0,0,0,0,0,NA,23,20,0,0,0,7,0,83,0.228915662650602,597066,2025,0.465116279069767,0.534883720930233,0.166666666666667,0.0980392156862745,0.372549019607843,12,0.721946609969289
"1153","1","Nigel Cross","So","P","6-0","R/R",12,10,3.36,64.1,3,64,31,24,14,47,1,278,256,12,1,0,4,0,5,0,0,0,2,1,843,64,73,4,5,0,17,2,256,0.25,597066,2025,0.532846715328467,0.467153284671533,0.169064748201439,0.0503597122302158,0.300724637681159,47,0.652287137681159
"1154","Succ-Opp against Leadoff Batter","Nigel Cross","So","P","6-0","R/R",0,0,0,17.1,0,10,0,0,2,9,0,65,62,0,0,0,1,0,1,0,0,0,0,0,NA,23,19,0,0,0,4,0,62,0.161290322580645,597066,2025,0.452380952380952,0.547619047619048,0.138461538461538,0.0307692307692308,0.2,9,0.409677419354839
